X,Y,site,code,site_type,source
530628.268186732,173368.24202799,Lambeth - Christchurch Road,LB1,Roadside,kcl
530273.319359243,177883.905345502,Lambeth - Vauxhall Cross,LB2,Roadside,kcl
532137.183489631,175701.312608137,Lambeth - Loughborough Junct,LB3,Urban Background,kcl
537675.4724033,173689.534062099,Lewisham - Catford,LW1,Urban Background,kcl
536241.364576902,176932.133681405,Lewisham - New Cross,LW2,Roadside,kcl
528123.313025271,182012.809259818,Marylebone Rd - Traffic,MG1,Kerbside,kcl
521619.154333132,183554.206661191,Brent - John Keble Primary School,BT6,Roadside,kcl
509551.63437759,176974.994370916,Hillingdon - Oxford Avenue,HI3,Roadside,kcl
524043.37701066,181748.824309853,North Kensington - Carbon,KC0,Urban Background,kcl
528118.313302603,181996.809676258,Marylebone Road - Carbon,MY0,Kerbside,kcl
528118.313302603,181996.809676258,Marylebone Road - CPC,MR1,Kerbside,kcl
517958.480831819,172521.099783015,Richmond Mobile - Petersham Rd Ham,RIM,Roadside,kcl
517958.480831819,172521.099783015,Richmond Mobile - Petersham Rd Ham,RIN,Roadside,kcl
539683.237779419,170157.092744348,Bromley - Rent Office,BY1,Urban Background,kcl
540628.266839983,169137.084317115,Bromley - Tweedy Rd,BY4,Roadside,kcl
530048.315961489,191346.665824142,Haringey - Bounds Green,HG3,Roadside,kcl
518198.530839978,169747.090252431,Kingston - Town Centre,KT2,Roadside,kcl
554198.301226715,192096.708158534,Havering - Harold Hill,HV2,Suburban,kcl
545560.664482079,178526.019339504,Greenwich - Plumstead High Street,GN3,Roadside,kcl
543580.235144178,172650.017037378,Greenwich - Fiveways Sidcup Rd A20,GN4,Roadside,kcl
532238.289156304,178557.887231687,Southwark 1 Grim,SK3,Urban Background,kcl
534618.268256113,177666.924501246,Southwark 2 Grim,SK4,Roadside,kcl
529808.319954295,179466.870479796,Westminster - Victoria Street,VS1,Kerbside,kcl
521989.421597738,174564.03573481,Wandsworth - Roehampton,WA3,Rural,kcl
538998.157164455,186996.774322278,Waltham Forest - Mobile,WL2,Roadside,kcl
544084.014614762,178881.829235463,Greenwich - A206 Burrage Grove,GN0,Roadside,kcl
538288.159431854,181448.846448496,Tower Hamlets - Blackwall,TH4,Roadside,kcl
544098.20292903,176896.979502294,Woolwich Aethalometer,GR3,Urban Background,kcl
549973.122971708,179060.949239697,Roving 2 PM2.5,TL3,Urban Background,kcl
533522.24201205,181170.83770757,City of London 7 - NOx paint study site,CT7,Urban Background,kcl
531325.834580369,186032.156096291,Biomass Partisol - IS6,XP2,Urban Background,kcl
529992.862757604,180691.143339715,Westminster - Charing Cross Library,WM4,Roadside,kcl
533480.242663371,181186.8364861,City of London - The Aldgate School,CT3,Urban Background,kcl
531325.834580369,186032.156096291,Islington - Arsenal,IS6,Urban Background,kcl
526648.304992625,184456.749065709,Camden - Swiss Cottage Partisol,CD7,Kerbside,kcl
527712.394163202,171184.096181996,Wandsworth - Tooting,WA6,Roadside,kcl
529135.328933972,177245.917595514,Wandsworth - Battersea,WAA,Roadside,kcl
524043.37701066,181748.824309853,North Kensington Aethalometer,NK3,Urban Background,kcl
509332.534525157,174997.743668843,Hounslow - Hatton Cross,HS7,Urban Background,kcl
523312.415501314,179896.875127536,Hammersmith and Fulham - Shepherds Bush,HF4,Roadside,kcl
525806.329627868,170119.12785407,Merton - Merton Road,ME2,Roadside,kcl
543976.219770718,174651.998666786,Biomass Partisol - GR4,XP1,Urban Background,kcl
532099.290939404,178828.88162782,Southwark - Heygate,SK7,Urban Background,kcl
549975.749862346,179064.86264222,Biomass Partisol - Belvedere,XP3,Urban Background,kcl
529900.870372723,182666.123839195,Camden - Euston Road,CD9,Roadside,kcl
515471.563834177,168768.093911706,Richmond - Hampton Court Road,RIY,Kerbside,kcl
536883.249084922,198503.701787064,Enfield - Prince of Wales School,EN7,Urban Background,kcl
536485.153572803,184234.827779268,Tower Hamlets - Victoria Park,TH5,Urban Background,kcl
530827.287383518,180848.832434616,Kings Micromet Kings Building,KSK,Urban Background,kcl
532099.290939404,178828.88162782,Heygate Intel 3,XL3,Urban Background,kcl
515113.556980148,170775.056166086,Teddington Fidas 2,XD2,Suburban,kcl
528274.323082029,181061.833348055,Westminster - Oxford Street,WM6,Kerbside,kcl
524033.406343393,175515.985701629,Wandsworth - Putney,WA9,Urban Background,kcl
524032.405150937,175369.990353798,Wandsworth - Putney High Street Facade,WA8,Roadside,kcl
524043.37701066,181748.824309853,North Kensington - PM1 FDMS,NK0,Urban Background,kcl
525507.398970712,178264.910160058,Kensington and Chelsea - Green Screen RS,KG1,Roadside,kcl
515353.542542165,173989.076426425,Richmond Upon Thames - Chertsey Road,RHH,Roadside,kcl
509302.551425313,184498.883565342,Vaisala Road Sensor - Gutteridge Wood,VVG,Kerbside,kcl
527557.092172841,171630.514254171,Wandsworth - Tooting High Street,WAB,Roadside,kcl
524043.37701066,181748.824309853,North Kensington PIXE,XK2,Urban Background,kcl
512435.566075188,173214.03875677,Richmond Upon Thames - Hanworth Road,RHE,Kerbside,kcl
528123.313025271,182012.809259818,Marylebone Rd Ion Chromatography,WM7,Kerbside,kcl
539883.023273222,181457.011698218,Newham - Wren Close,NM3,Urban Background,kcl
529969.25319884,171567.026199193,Lambeth - Streatham Green,LB6,Urban Background,kcl
515471.563834177,168768.093911706,Richmond - Hampton Court Road,RIZ,Kerbside,kcl
525646.359741112,174424.996582965,Wandsworth - Garratt Lane,WA1,Roadside,kcl
528118.313302603,181996.809676258,Marylebone Road APS,MR4,Kerbside,kcl
524043.37701066,181748.824309853,North Kensington APS,NK5,Urban Background,kcl
528123.313025271,182012.809259818,Marylebone Road - URG,MR6,Kerbside,kcl
544452.227534328,187678.858531875,Redbridge - Ley Street,RB7,Urban Background,kcl
524043.37701066,181748.824309853,North Kensington MET,KM1,Urban Background,kcl
528123.313025271,182012.809259818,Marylebone Road Increment,MYI,Kerbside,kcl
524043.37701066,181748.824309853,North Kensington - Modelled,XK0,Urban Background,kcl
515113.556980148,170775.056166086,Teddington BAM,TD9,Suburban,kcl
530322.972038015,169553.770467108,Croydon - Norbury Manor,CR8,Urban Background,kcl
518161.346323545,169663.918989535,Kingston Upon Thames - Sopwith Way,KT3,Roadside,kcl
519711.889604284,165875.007522669,Kingston Upon Thames - Tolworth Broadway,KT4,Roadside,kcl
523719.363332251,183004.792073977,Brent - ARK Franklin Primary Academy,BT8,Roadside,kcl
533517.164704645,179833.758183892,Team London Bridge - Tower Bridge School,TB2,Roadside,kcl
524043.37701066,181748.824309853,Kensington and Chelsea - North Ken FIDAS,KF1,Urban Background,kcl
529491.428377444,181330.517514637,Westminster - Oxford Street East,WMB,Roadside,kcl
538050.17601901,178558.897497757,Tower Hamlets - Millwall Park,TH6,Urban Background,kcl
528123.313025271,182012.809259818,Marylebone Road - Fidas,MR9,Kerbside,kcl
533174.537500286,180123.76692396,Team London Bridge - Tooley Street FASQ,FA1,Kerbside,kcl
530783.287324544,180907.830990227,Westminster - Strand (Northbank BID),NB1,Roadside,kcl
533174.537500286,180123.76692396,Hammersmith and Fulham - Talgarth Road B,HFY,Roadside,kcl
527448.32429552,175450.949471687,Wandsworth - Lavender Hill (Clapham Jct),WAC,Roadside,kcl
532566.283316251,165596.089612109,Croydon - Park Lane,CR9,Roadside,kcl
528274.323082029,181061.833348055,Westminster - Oxford Street 2,WMZ,Kerbside,kcl
525591.487040891,168498.382282926,Merton - Morden Civic Centre 2,ME9,Roadside,kcl
538995.249379724,178002.962320678,Greenwich - Trafalgar Road (Hoskins St),GN5,Roadside,kcl
529219.29830718,181916.808132562,BT Tower - ClearfLo APS,XT2,Urban Background,kcl
534842.267611823,177511.932513647,Southwark - A2 Old Kent Road,SK5,Roadside,kcl
524043.37701066,181748.824309853,North Kensington - URG,NK6,Urban Background,kcl
529231.171736847,180780.490393043,Regent Street facade (The Crown Estate),CE1,Roadside,kcl
512435.566075188,173214.03875677,Richmond Upon Thames - Hanworth Road,RHF,Kerbside,kcl
521232.455794324,179767.89748929,Ealing - Acton Vale ,EI3,Urban Background,kcl
528707.345681835,178769.890192458,Westminster - Buckingham Palace Road,WMA,Roadside,kcl
536471.269513729,174125.051935715,Honor Oak Park ACSM,HP5,Urban Background,kcl
